word,chinese_translation,frequency_18901,review_count_18901,example_context
railroad,railroad (名词),7,7,"review_792ceb85fd365bf951c0c960 :: My work team went on a team building trip. There were 9 of us. We were scheduled for a glacier landing. Due to the weather, we needed to change our plan. K2 offered a different fli..."
crack,crack (名词),7,7,"review_6523d5d635208035ffc1f596 :: Absolutely to book in advance because you can't do without it.
We booked it a few days before and called to confirm the reservation.
In June 2023 we spent 164 euros each for the fl..."
scotland,scotland (名词),7,7,"review_96e2ce95cf983e9c1a26b8e7 :: The smallest plane we had previously flown in was a Twin Otter, which landed on the beach at Barra in Scotland, so we were a little nervous about a smaller one that  also landed on..."
ponds,ponds (名词),7,7,"review_4f3b49783339063eb7bfc6a8 :: The trip was on a classic Dehaviland Otter retrofitted with a turbo-prop engine.I hadn't booked a landing as part of the package, but other on the same excursion had, so I was able..."
shaun,shaun,7,4,"review_4cb50eb7bd24e4a4631f2ec5 :: Shaun was our pilot, and he was very  kind and friendly. The plane ride was smooth and not
scary at all. It was the most fabulous thing ever! It brought tears to my eyes it was so ..."
congenial,congenial (形容词),7,7,"review_b4f52ed452b8e2540a07f636 :: The flight was an amazing experience start to finish- congenial knowledgeable pilot, incredible sights with great commentary and he took amazing care of our every need. Would recom..."
ingrid,ingrid,7,7,"review_e2d44147c6b1191a57d0635b :: What can I say a biplane painted red with a pilot named Kevin the Red Baron. Did helicopter rides before but nothing is like the open cockpit of a biplane, the wind in your hair wi..."
elaine,elaine,7,4,"review_ab574ef118c913d091b17982 :: Sorry - this is a long review, but there is some constructive feedback at the end which needs reading. 

Having booked with Maverick airlines last year to fly from Vegas to the Sou..."
session,session (名词),7,6,"review_dfe468f15765d570ea372a06 :: We had a few problems from my travel agent, but none of it was K2's fault and they went above and beyond to fix the problems and make us happy! Elaine especially was very helpful. ..."
plate,plate (名词),7,5,"review_08061e75702564f4130fc38f :: My husband and I traveled to Alaska mid-April planning to do as much as possible in the ""shoulder season"" - when winter activities have stopped & summer ones haven't started.  Two ..."
effects,effects (名词),7,5,review_2ed626661834fd92bd36e360 :: We booked our trip on a friend's recommendation from several years ago and we booked day of flight. Their website was easy to maneuver and directions to location was simple. We arr...
homework,homework (名词),7,6,"review_f902b13e18dcab74c23efb70 :: We went on the 4 p.m. Cessna ride on Thu, 10/9, the latest flight of the day.  This plane ride was phenomenal!  We visited the island as part of the Norwegian Cruise Line, Pride of..."
contemplated,contemplated (动词),7,7,review_e37c31184caab757f7cb33f1 :: First time - we had no idea what to expect.  Our only goal was to see Mt. McKinley up close and thought that would be fun.  We contemplated the glacier landing for the additional $...
depend,depend (动词),7,7,"review_0ed2cd2dbeb6a5694b143911 :: We were sailing Carnival and next to last port of call was Ketchikan.  We opted for the Neets Bay Bear Watch or tour... 
When we arrived to the float plane port, Taquan airlines wa..."
pool,pool (名词),7,6,"review_bba8912403669f84f9dee97e :: My wife and I were lucky enough to have the Hawaiian Weather God's on our side for our last day in Kauai, the one and only day we had open to take a flight with Wings Over Kauai. L..."
shift,shift (名词),7,7,review_6d2c3a429838e40e73e52636 :: Our flight with K2 Aviation was a wonderful experience! Our pilot was extremely friendly and knowledgeable. They were covid conscious. They called and gave us the option to shift o...
finishing,finishing (名词),7,7,review_77655121a9dbf8587cea2c3d :: We researched tour companies prior to and chose K2 from all the recommendations.  So happy that we did.   It was beyond anything I ever experience.   I felt like my whole Alaskan v...
ish,ish,7,6,"review_b3c2d80c04bcc5d0082d0a5b :: Having been to Maui twice before, we decided to finally spend the $$ and fly over Haleakala.  After researching the numerous heli tours, we opted to book with Eric and his new-ish ..."
depot,depot (名词),7,5,"review_ab574ef118c913d091b17982 :: Sorry - this is a long review, but there is some constructive feedback at the end which needs reading. 

Having booked with Maverick airlines last year to fly from Vegas to the Sou..."
ian,ian,7,7,review_c6aa7c33b8a694edc4b36509 :: Treated courteously throughout the process of booking & flying. Ian was a great pilot & Sally couldn’t have been more polite. Thank you....
development,development (名词),7,7,"review_ed8ac6961085a06fa25dc9ea :: This was the last excursion we booked for our cruise and the weather was a bit testy that day. Lucky for us, Chuck Perkins was our very experienced pilot who made the fjord journey..."
westwinds,westwinds,7,7,"review_aa1ae3139fbb554b26ec2c15 :: This trip was totally worth it. Everyone at Westwinds was friendly. The narrated flight was informative. The scenery was beautiful. The convenience from Phoenix was awesome. 

The ..."
remembering,remembering (名词),7,7,review_2064708f9f99c9dccebb4cc3 :: We walked up on the Fourth of July and my husband spontaneously booked tickets for everyone in our family - there are six of us! It was glorious seeing the mountain up close. We di...
courtney,courtney,7,6,review_c05875fbd6c727217b07f5ae :: Our party walked up last minute purely because we were interested in the plane. Leighan (the pilot) greeted us with a smile and sent us to Courtney. So glad these two convinced us ...
bike,bike (名词),7,7,"review_86d4c7551a3f1fc97a18d333 :: We needed to get to Friday Harbor one way, with our light foldable bikes, so we could bike back to Seattle over the next week. The experience of checking into Friday Harbor Seaplan..."
mails,mails (名词),7,7,"review_6c3c73c786156a05b0ca3139 :: The experience was so well organized at all stages from the booking process to the actual flight.  Booked only the day before, and we had e'mails early in the morning reporting on ..."
capabilities,capabilities (名词),7,7,"review_148b9ef29f27272e4a96a86a :: Though a white knuckle flyer on commercial flights, took the chance on an air tour of Mystic Fjord. Extraordinary views on a clear, sunny day of Ketchikan, mountains, lakes and for..."
recieved,recieved,7,7,review_11f91cda8ba01e4603163e46 :: had a brief delay only due to weather which is understandable since its a weather dependent excursion.  very nice and intimate plane ride although we rode with another cpl and gent...
rearranged,rearranged (动词),7,7,"review_d687c4a1fcb039b7b0630138 :: The flight experience was amazing and they were good with the trip, but we booked a Grand denali tour with glacier landing. we drove over 2.5 hrs to reach the place by 8:30 am only..."
switzerland,switzerland (名词),7,7,"review_333a425c063b0062400dd358 :: Our seaplane tour was an amazing experience! It was the first time we went in a seaplane! It was strange at first but we enjoyed it very much, because it was a personal flight with..."
gardens,gardens (名词),7,7,review_b77dd9e54e405f9010e26669 :: You simply have to take to the air to see the whole island as only 20% can be seen from the land by car. The view is stunning as you fly over the island across the canyon and up pa...
ripped,ripped (动词),7,7,review_d6fc39f4bbab84d2ecf598b8 :: We arrived in Ketchikan from our cruise sip on a rainy day with low hanging mists. We were told the flight might be cancelled but then they decided we could fly out. There are 3 ro...
chased,chased (名词),7,7,"review_1491f69a545aa601426ea964 :: Thanks to K2 for another wonderful, world class mountain flight. Ever since we flew with K2 on our climb of Denali, we have been impressed with their friendliness, efficiency, can ..."
kawaii,kawaii,7,5,"review_6676a74435d049802c017c37 :: this was our no 1 attraction while visit hawaii island!
the service was great,the view is anazing,bruce is wonderfull pilot&guide.
afterthe flight we did the waimea vally by car-an..."
moreover,moreover (副词),7,7,"review_88e123683c8ba9f89d359548 :: We could not have asked for better treatment from email updates, pickup and drop off for hotel, and to let hang out in their lounge prior to our train departure. Moreover, since th..."
toss,toss (名词),7,7,review_01d9c924febde4e20fe3ec7b :: Well worth the price. We flew in a 19 passenger Otter fixed wing aircraft out over the east rim/Grand Canyon. Amazing views and great visibility. We each has our own window and the...
reachable,reachable (形容词),7,7,"review_3afc3d117491606c117815f2 :: Awesome experience, one of the most exciting of my life. Flying over Kauai Island has been amazing. You can see some fantastic places not reachable in any other way. Kauai is the g..."
bubbs,bubbs,7,4,"review_6fc11d22cd6a8e218ad1510c :: The tour was amazing! The pilot/tour guide, Bubbs was awesome at flying the plane safely and giving amazing facts about the area around us. My favorite part was seeing the waterfal..."
markus,markus,7,7,review_d30a122708bc01b07383f468 :: Great way to see the island from an eagles eye. Markus was so nice and knowledgeable. We really enjoyed the tour and it was one of the highlights of our trip! We also found the pla...
momma,momma (名词),7,7,"review_da5fbbe85f107bb817a4d119 :: It was a nice calm day, like no wind at all so it went smoothly.  We did a shorter flight.  Our favorite thing was seeing a Momma black bear with her 2 baby cubs.  Only bad thing w..."
taxis,taxis (名词),7,7,"review_3e5db208cfee7fb04abebf65 :: This is a very popular service offering Air Taxis and flight tours. We booked the Denali flight tour to fly around Mt Denali, see wildlife and land on a glacier and actually walk o..."
appearance,appearance (名词),7,6,"review_95187d59050f0a8fab3b6047 :: Excellent, Amazing experience, your pilots will make you feel comfortable on your smooth ride to Neets Bay and we were blessed with an appearance of 6 bears and many eagles. Defini..."
jeeps,jeeps (名词),7,6,"review_d4682ac46150ef3b8b06fc49 :: This was a great day!   I do have a few suggestions to improve it.  

The airplane trip over the Grand Canyon started very early.  The box breakfast before the plane ride was nice...."
hostess,hostess (名词),7,7,"review_e0c3228bc1f0c717ae37c270 :: This was a Holland America Cruise Line shore excursion. A great experience all the way around: weather, sights, and dining. Our ground crew and pilot for Taquan Air were friendly, ..."
susan,susan,7,6,"review_6ae887a40b9002f9cdcaebb7 :: Finding Maui Plane Ride and getting Steve as our pilot turned out to be absolutely the BEST. We don’t need no stinking helicopters. I took that line from ‘The Wild Bunch.’
Steve le..."
museum,museum (名词),7,6,"review_7de314c9f8f75a3978451ae4 :: While the flight was safe and we did see what was expected, we were really disappointed overall. When I asked to use the bathroom they explained their bathroom was out of service a..."
ankle,ankle (名词),7,6,review_4c04c9bf3a863e9ccae67430 :: I did the rim to sky tour. Best part of my visit by far! Everyone was so nice and paying for the window seat was so worth it!! I came to the Canyon to hike but sprained my ankle ri...
participated,participated (动词),7,7,review_d326b75a62e394b2a6c6d9ff :: My husband and I participated in the glacier landing flight and it was truly a once in a lifetime experience! We were scheduled for a Sunday flight and the weather was not good. Lu...
recognize,recognize (动词),7,7,"review_85bc0f2edb5c8654b090e2dc :: Great experience! Flying with Wings Over Kauai was great, and we loved seeing everything from the air! My family of 6 (kids aged 4-10) all loved the plane ride. They had headsets s..."
hell,hell (名词),7,7,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
blocking,blocking (名词),7,7,"review_5bd36d2b98638d7b4db8f759 :: Wow! Is what comes to mind when thinking about the experience we had with Grand Canyon Landmarks Tour by Airplane. Despite a very windy day, our pilot decided it was safe enough to..."
buttes,buttes (名词),7,6,"review_61852644e162ce286d92c546 :: After spending time hiking the Moab National Parks and jet boating the Colorado River, we had the ultimate experience with Redtail Aviation.

From the time we entered the terminal ..."
seas,seas (名词),7,7,"review_ef186e93c60d60388b2ad617 :: On the tour from the Brilliance of the Seas, there were three times to chose and we were on the last one.
So lucky as we heard that earlier flights were cancelled due to low cloud,..."
avaition,avaition,7,7,"review_7de314c9f8f75a3978451ae4 :: While the flight was safe and we did see what was expected, we were really disappointed overall. When I asked to use the bathroom they explained their bathroom was out of service a..."
erica,erica (名词),7,5,review_fdde95a34d56f978c81346e9 :: This was a fantastic experience!  To see the sheer beauty and majesty of Mt. Denali and Denali National Park from the air is unbelievable. Words and pictures don't do it justice. I...
kings,kings (名词),7,7,"review_ffda59175c145bb57d433a1d :: My dad and I booked a 4 day trip to their lodge up in the Queen Charlotte sound area, I cannot tell you how incredible everything was.  The staff, the seaplane trip the fishing was..."
exceeds,exceeds (动词),7,7,"review_84de058df83d38d3a5a460d9 :: Eric our pilot was great, this is by far the best way to see Hawaii. We’ve done helicopter tours before and this exceeds what you’re able to see there very enjoyable. Saw whales be..."
eagerly,eagerly (副词),7,7,"review_2a867bf318b74910728b82c6 :: My father and I booked Maverick Helicopters quite eagerly, knowing very well that whilst it may be a bit expensive, that it would be the best way to see the Grand Canyon - and boy,..."
norm,norm (名词),7,7,review_4c653c9dbc2345707a232f8a :: I would highly recommend this trip to anyone considering it. The views are absolutely amazing - you wouldn't be able to see even half as much from ground level. The pilot acts as a...
unavailable,unavailable (形容词),7,7,"review_b4aaf5f3109ed214c6ecdee6 :: We took this scenic flight from Friday Harbor.  The plane was great, the pilot was great, the views were great....except from the center seat where my wife wound up.  Her opinion i..."
fiord,fiord (名词),7,5,"review_958b91b7f77500e0af5baf00 :: Short trip to the heart of misty fiords and land in middle fiord, calm and relax to come back the airfloting base..."
imo,imo (名词),7,6,review_54b431a66c28290b5153344b :: We pre-booked a flight-seeing tour with a glacier landing while visiting Talkeetna.  It was one of the highlights of our entire cruise-tour!  The flight was amazing and the glacier...
oscar,oscar (名词),7,7,"review_20e74e38bc4fb85fae84289d :: Like most general aviation the plane is an older model Cesna.  Very safe and reliable. Oscar, our pilot is young and foreign born. Many pilots in Miami are. He was excellent...."
interacting,interacting (动词),7,7,review_92de7f9448921e03b695ff0d :: This was a once in a lifetime experience.  The higlight of our trip to Alaska.  Staff was courtious and well informed.   Helped us thru the process step by step.  Felt very safe th...
queezy,queezy,7,7,"review_a18c79cb645fbd57507a2a1f :: We were in a twin prop plane, 3 seats per row, with massive windows so even in the middle seat (as I was) you have excellent views. You have a headset playing rather annoying music..."
temple,temple (名词),7,6,"review_c63b75d3c6ab96e44ce1f5f9 :: We looked into doing a helicopter ride over Kauai, but while doing internet research, I came across 'Wings Over Kauai'. The reviews and the price seemed favorable and since we'd pr..."
chairs,chairs (名词),7,7,review_d154e21b4b5e46f373640b67 :: This was our 2nd time flying with K2 Aviation.  Same flight both times.  Mike the pilot from 2008 is still there.  We flew with Chris the chief pilot this time.  Both pilots were f...
distraction,distraction (名词),7,7,"review_b68c899a34f627b184611466 :: We flew with Dan in the Otter, the last flight of 
the day. His greeting to us was polite & he was an apparent plane guy from the get go. The safety briefing was easy to understand..."
fishermans,fishermans (名词),7,5,"review_cf2086927a2cf0f881767610 :: Initially we booked this because we were too late booking a direct Alcatraz visit, but so glad we did as this became one of our best days in SA.

Seaplane Adventures were excellent..."
underneath,underneath (副词),7,7,"review_1d2e3b9096eb301db6126594 :: Halfway through our 45-minute tour, our pilot, BJ, asked us to let him know as soon as he'd made it to the top of our ""coolest thing ever done"" list. I replied, ""You hit that the s..."
cloths,cloths (名词),7,7,"review_67538a542e8a78df954810af :: Eric was fantastic and the whole experience is awesome! My daughter got to fly the plane and she loved it ! We booked five island tour with landing in Leper colony , Molokai , that..."
wanna,wanna,7,7,review_ff33d0b8541d0d03382b9aad :: Very interactive and fun! Cool to see the most natural parts of Maui county. Would recommend it if you wanna see maui from a different perspective!...
areal,areal (形容词),7,7,review_718537045f91195b2554e8dd :: What an amazing way to see the island. An absolute stunning flight. Erik was so knowledgeable and really made the tour special. We were greeted with flower leis and after the fligh...
haviland,haviland,7,7,"review_b63c89982ba33e68605ad516 :: We chose to fly to an escape to Vancouver island and were impressed by the efficiency, hospitality and safety of this airline. We loved the views on the outbound trip - in fact the..."
sucked,sucked (动词),7,6,"review_4a27422eeebe0186c4cf3dd3 :: Said the weather was bad when the sun was shining and helicopter rides were being conducted with no issues. First they delayed the flight, then made us wait an hour, and cancelled...."
boss,boss (名词),7,7,"review_3f46c866fe6dbc4be52268d7 :: AWESOME! Eric was boss, really kind and informative. Overall great trip! We really enjoyed our pilot and his enthusiasm...."
acceptable,acceptable (形容词),7,7,"review_520ec648c1870a6850cda010 :: the actual tour and pilot were great.  But then it all went downhill.  We purchased the photo/DVD package.  Two days after the tour, we got home and I popped the DVD into the playe..."
intro,intro (名词),7,6,review_030244bc1c9bb184f367ee99 :: This is a truly amazing bucket list experience. Up in a small 12 seater buzzing around the denali range like you are taking intro shots for a lord of the rings movie. The pilot sai...
confusing,confusing (动词),7,7,"review_d9f26eb9528467b776102553 :: When we got there it was sort of confusing on where to go but we were able to find it eventually. We were excited for the tour but as we got in the plane, it was a bit small uncomf..."
customize,customize (动词),7,7,review_d0f20dfbbfa152d004204eab :: Eric was wonderful. He was able to customize a tour for us and take us over Haleakala. The views were amazing. I couldn’t have asked for a better experience....
camping,camping (名词),7,7,"review_25b6c27b0f82de9c253faee9 :: We’re from Anchorage and spent the 4th of July camping in Talkeetna. We woke up and meandered into K2, not expecting to go flying that day. They made us an offer we couldn’t refuse..."
dnp,dnp,7,4,review_3cb4c53a6c1c62555cfbaa2c :: This is a bit of a mixed experience for us.  The floatplane ride to Caribou lodge was wonderful - the guided hike from Caribou Lodge at Boomerang Lake was really awesome - Zack sho...
diego,diego,7,7,"review_5ee2c32c10d5e50c522ed982 :: Great experience ! Worth the try and you won’t regret it . Diego was awesome , super nice and friendly . The view was amazing and ride was smooth...."
clarity,clarity (名词),7,7,review_ca3971de9c89125ee9a043a7 :: We shared a planeride with 2 others and Marcus (the pilot). The check-in is easy (at the commuter terminal) and very Kauai-like - completely laidback and you are told about the rou...
rotated,rotated (动词),7,7,"review_9b59fe738e7b2b0d9930581f :: Fantastic experience with an excellent company Maverick Helicopters. Very professional, friendly and informative from start to finish.
We were collected at nominated pick up point ..."
clad,clad (动词),7,7,review_e10553914a4c7647cfc6cb98 :: We booked the South Rim tour plus helicopter flight and we were so glad we did because we had the most amazing 5 hours. We were picked up right on time from MGM Grand and then a 20...
marie,marie,7,6,"review_efab2537f45b1fbd0409fe50 :: Seeing Denali up close and personal in a plane is an experience I'll never forget. Rose Marie, our pilot, made sure the 3 of us saw both peaks of the huge mountain, climbing routes..."
tunnel,tunnel (名词),7,6,"review_275c5ca619ea0c0a3f758933 :: The views were great, and we were able to see the volcano shooting lava, which was an unexpected bonus.
The stops at the beach and lava tunnel were also great. The coffee plantatio..."
suzanne,suzanne,7,7,"review_e2a0a386b7cb4055efc275ea :: First AK stop for a couple washed up AF Fighter guys and their boys….wow, it was incredible!  A bluebird day exposed Denali in all her glory, and landing on Ruth Glacier is an expe..."
derrick,derrick (名词),7,3,review_63fd661b118622c5ff3c3b59 :: Worked with RedTail to crate a custom flight route to see a wide swath of the Canyonlands/ARches/Escalante/Lake Powell area over 2.5hrs. Derrick was our pilot - he was great!  Very...
aka,aka,7,7,review_4c2031a8294c85bb10de3f0a :: My wife and I really enjoyed our Miami tour in the air! Great views of the city and surround. Our tour guide aka pilot was extremely knowledgeable and did a great job of describing...
sum,sum (名词),7,7,"review_2503fdeabb74325654aa0a9d :: We were looking at Helicopter tours, but I read so many great reviews for Wings Over Kauai, that I preferred the plane. My husband wanted to do a doors off helicopter but there wer..."
jones,jones (名词),7,7,"review_61f32fcb5743a4bf3198b161 :: My friends and I went on the Sunset flight last night and I’m glad we did this! Eric the pilot is very nice, professional, and wants to make this the best trip!

Right away we had ..."
biking,biking (动词),7,7,"review_79894cec78a18c2bb7b10260 :: Wow!! This is my 9th trip to Maui, and we have done it all. From helicopter rides, biking down Haleakala, zip lining, driving the back side and exploring the Olivine Pools and this..."
adrian,adrian (名词),7,4,review_69ca6033212559a4615e6fed :: My husband and I did the Key West excursion with pilot Adrian at the helm.  It was fantastic!  Adrian was incredibly knowledgeable about the history and ecosystem of the Keys and a...
booth,booth (名词),7,6,review_b663b185089984f92724578d :: I had a confirmed booked through Alaska Shore Tours for the Neets Bay Floatplane bear watch tour. At the time I was not aware that Alaska Shore Tours had subcontracted the tour to ...
labor,labor (名词),7,7,"review_a2639d309c81d2cdacb3d8d4 :: Initially we were looking to do a helicopter tour as we had done one before, but decided on the plane because of the cost and duration. We weren't disappointed!

It seems like thes..."
pause,pause (名词),7,7,"review_c447bcff832ee76204e347f8 :: During my trip to Alaska, the most important thing to me was to take a tour on a float plane. I booked this the last day of our cruise, which was in Ketchikan Alaska. On our way in..."
clerk,clerk (名词),7,7,"review_2671d07326845fdd07229251 :: My wife and I were excited to schedule our air-tour of Denali with a glacier landing.  When we arrived at K2 on the morning of our flight, however, we were told that they could not..."
fastest,fastest (形容词),7,7,"review_8bb24651a6b2970b1c29065e :: The Grand Canyon is SO Vast, it's the fastest, best way to see the whole thing.  It was hard to take it all in... so much to look at.  We saw Bison grazing in field, saw many forma..."
tube,tube (名词),7,5,review_de3a84acebc1679b310b263e :: The scenic views were amazing. Tour guide I think dropped us off at a wrong stop and my poor elderly father had a hard time hiking for 40 minutes to see the lava tube. He had to re...
basics,basics (名词),7,7,"review_4fb75f5ce1c7c525ee343a42 :: Unbelievable experience. If you’re on the island and can make this happen, do it. Steve is an amazing pilot and tour guide (the exact combo you want) and actually teaches you a cou..."
otherworldly,otherworldly (形容词),7,7,"review_2ced2be9a338446e48906797 :: ""Best hour of my life""--or at least that's how my daughter (not a little kid, but rather a highly accomplished and well travelled professional) described it.  While I trust her exc..."
eleven,eleven (名词),7,7,"review_7e5d3d71166141aec2eb5778 :: I wish I remembered the name of our pilot. A young lady with a passion for flying float planes. Our trip was awesome. There were eleven of us in our group, we were split between tw..."
struggling,struggling (动词),7,7,"review_04669f949501e6b1b1ccc1f3 :: Like most other reviewers, we were in Ketchikan on a cruise ship - Oceania's Regatta- and this flight was one of the ship's excursions. Luckily for us, we were booked on a later tr..."
lit,lit (名词),7,7,review_f553c5dae2b28eb8b06e5dfa :: I found this experience very disappointing. Seating aboard the helicopter is determined by your weight. If you are on the right side of the helicopter you will get a good view. I s...
splurging,splurging (动词),7,7,"review_72999679442a7dad02e6285f :: This was one of the highlights of our trip. We had an amazing experience flying with K2. Our pilot, Will, made sure we were comfortable with the plane, safety procedures, and fligh..."
africa,africa (名词),7,7,"review_eb8f3bb92e713f10a158e96d :: A very professional and friendly operation close to town. 
Phoned us back (to South Africa) to discuss our concerns with our bookings. 
Big, well appointed terminal which was well ..."
wider,wider (形容词),7,7,review_bdf0c493f8a4c967f869e49c :: My wife and I thoroughly enjoyed the ride and pilot Eddie. Very smooth ride at 7500-9500 feet which can be below the canyon rim at times.  Excellent for taking aerial photos.  The ...
systems,systems (名词),7,7,review_c243b0e0c63fba25e51320ad :: When planning out my trip to Alaska. I decided to add a flight tour to my trip. I had heard a lot about flight tours being a very Alaskan experience and OMG the rumor are true. It'...
manta,manta (名词),7,7,"review_353db7df037c0f831b38a71e :: Amazing trip to Key West with Miami Seaplane Tours.  The flight was fabulous and we saw lots of marine life on the way including sea turtles, sharks, manta ray, stingrays and whale..."
newly,newly (副词),7,7,"review_2ced2be9a338446e48906797 :: ""Best hour of my life""--or at least that's how my daughter (not a little kid, but rather a highly accomplished and well travelled professional) described it.  While I trust her exc..."
wouldnt,wouldnt,7,7,"review_722c927cf598aa4ada8e0bf8 :: This was a once in a lifetime experience that I'm glad we did not miss. We were a little worried at first that the weather wouldnt allow for us to land on the glacier, but the pilo..."
packages,packages (名词),7,7,"review_f2090c6ffbf0c6cbd9d40f52 :: A once in a lifetime experience and a MUST while touring in Alaska. This was the first activity during our 10-day Alaskan experience I booked (based on reviews from others), and it..."
pennies,pennies (名词),7,6,"review_db8989151c03b39f79578936 :: We decided to start our trip right, and splurged on a helicopter ride over the Canyon. It turned out to be the best decision we could have made. It gave us the perspective and unde..."
photographing,photographing (动词),7,7,review_40d1a1377eec05387caa384d :: Pilot was great!  He was very personable and gave us lots of information without interrupting our viewing/photographing of the topography.  Every site up to Denali and all surround...
shaky,shaky (形容词),7,7,review_a5417dd16046b0690415e695 :: We really enjoyed this trip and would recommend it to everyone . I thought that it might be a bit shaky but it was smooth and a fantastic ride....
retirement,retirement (名词),7,6,"review_d10ddcd55d3c20f87c456370 :: The whole experience was so smooth. 
Matt was our pilot. He was amazing! In simple conversations he was able to gage everyone's excitement and fears. He has a way of using humor to..."
snug,snug (名词),7,7,"review_d7a5c04a2838396b53c93397 :: Pre-booked on our Princess Cruisetour, we went for the Denali summit flightseeing tour with K2 Aviation, located at the airport in Talkeetna. A shuttle bus goes from the Princess L..."
vet,vet (名词),7,7,"review_f6cf1e51294d02e20ec4b447 :: This was a side trip from the Alaskan cruise in late August.  Larry our pilot was very knowledgable and asked if we had a veteran in our group of 6.  I'm a navy vet, female, and 74..."
source,source (名词),7,6,"review_f32f11c9785d45515743784e :: This was definitely a highlight of our Alaskan cruise....in fact, it was my wife's favorite excursion.  Our pilot Larry was a wonderful source of knowledge about the area and the d..."
strict,strict (形容词),7,7,"review_8afeef9c676a1988d5164714 :: Fantastic experience over the canyon. 
Our pilot, Dennis?, has flown with you for the 16 years, was knowledgeable and fun.
A suggestion  that I have is one I dont think you can exe..."
mattered,mattered (动词),7,6,"review_39f08ae792d855b826298096 :: So glad we decided to do this!  Our pilot, Allison, was great and very informative.  We felt very safe the entire time, which mattered most with us having a 2 year old with us.  We..."
goose,goose (名词),7,7,"review_a24b1a9b2f193458a4ba08e8 :: Such a cool experience! Flying over the mountains, rivers and lakes! Our pilot, Conner was awesome! (And looked like Goose 😆) Caught glimpses of Denali from the air and, best of al..."
minimize,minimize (动词),7,7,"review_48f006ddd5539467c34e6541 :: Our sighseeing tour with glacier landing was bumped for several days in an attempt to get cooperative weather. Unfortunately, the landing was not to be. Depite the disappointment, ..."
icy,icy (形容词),7,7,review_a9342242d2905931801ee73d :: K2 was excellent from booking to checking in to the actual flight itself.  We took lots of awesome pictures and videos during the flight and on the glacier.  It was a truly out-of-...
hawaiin,hawaiin,7,7,review_94b6f25f7f7a95f1a4915399 :: Marcus is a great pilot and guide.  He managed the    flight extremely well and narrated the tour with a suttle background of hawaiin and movie titles as appropriate during the tou...
remind,remind (动词),7,7,"review_5315243ff755b44b6e69ea99 :: Absolutely amazing experience, impressive top notch organization. We were extremely impressed with K2, not just because we had a perfect day to fly, but because of the confidence I..."
admitted,admitted (动词),7,7,"review_72096419ada03a01561fdb78 :: Couldn't have asked for better weather, better flight, or better air tour around Denali and onto the glacier.

The tour adjusts his flight path according to weather conditions.  Ou..."
mtn,mtn,7,7,review_56bc60e1cedbd91038ddb626 :: The experience was beyond my expectations.  K2 is a very well run organization with quality & entertaining pilots.  The weather was perfect for the 2.5 hour flight and landing on R...
thunderstorms,thunderstorms (名词),7,7,review_a542418490044c2bee5a6012 :: Here's why I gave them a 5 star even though we didn't fly with them. I booked a flight with their smaller Cessna plane so my wife and I would have a better experience seeing the is...
tad,tad (名词),7,7,review_581bc311831e2cc2209134f5 :: Our first time in Maui and wow was it not a let down. From the moment we got there Eric made us feel like old friends. His love for the island is infectious. The way he described t...
overs,overs (名词),7,7,review_6aef37821963e0f5d9dc5242 :: During our vacation to Alaska one of our stop overs was the town of Talkeetna.  It is just below Denali National Park and is the home of K2 Aviation which is renown for its tour fl...
pair,pair (名词),7,7,review_cc33e22766b01cfbf9ff7613 :: We flew from Renton to Friday Harbor on Saturday 6/30.  The overcast weather meant we had to fly low and that gave us the opportunity to see a pair of Orcas from the sky. Our pilot...
bumpiness,bumpiness (名词),7,7,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
discussing,discussing (动词),7,7,"review_2bf7e185362495ef0380bc91 :: Fantastic!
Felt very comfortable with the pilot and plane. Chip was very good about discussing all about the plane before we left. I could tell he was a very experienced pilot and ..."
mountaineering,mountaineering (名词),7,7,"review_b9b0f2a4df6b9fdd0e511230 :: I have read a lot about Denali mountaineering exploits, plus I love flying so this trip with K2 was a long-awaited highlight of our trip from the UK to Alaska.  I knew from TV prog..."
crown,crown (名词),7,7,"review_d5b6da22fea5e1d569198664 :: I am recently retired, and a trip to Alaska was one of my 'bucket list' destinations.  This flightseeing tour over Denali was the crown jewel of the trip.  Truly amazing, and a lif..."
samuel,samuel (名词),7,6,"review_bb22c36bc4fde9236b9e8472 :: Okay.  Just do it.  I've no doubt this flight will be the highlight of our trip.  Professional, friendly pilot that went above and beyond for us (thank you Samuel.). While our expe..."
fifth,fifth (名词),7,7,review_652c3e1d0ad3fb8910731e09 :: This was a lifetime experience the views were incredible. The flight was a great way to celebrate our twenty fifth anniversary....
sweetest,sweetest (形容词),7,7,"review_08b9b87b238b026e50ef69f3 :: On of the what things I’ve done! The people are sweetest and our pilot, Chris was amazing!! Highly recommend K2A!..."
victoria,victoria (名词),7,6,"review_f02ae7a217495efe3deb656e :: Adam Weiland was my pilot on this fantantic scenic tour of the fjords....He is a skilled pilot and very informative, friendly and knowledgable.  It was a pleasure...be sure to ask ..."
