word,canonical_lemma,frequency_21215,chinese_translation,strict_raw_category_id,strict_raw_category_name
unfriendly,unfriendly,4,不友善的,0. Direct NRC,Direct NRC Included (358 Words)
wicked,wicked,4,太棒了 / 绝妙的,0. Direct NRC,Direct NRC Included (358 Words)
wildest,wildest,4,最疯狂的（狂想）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
profound,profound,4,深刻震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
regretting,regret,4,感到后悔遗憾的,0. Direct NRC,Direct NRC Included (358 Words)
nasty,nasty,4,令人厌恶的 / 恶劣的,0. Direct NRC,Direct NRC Included (358 Words)
pleasing,pleasing,4,令人愉悦满意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
frustrated,frustrated,4,感到沮丧的 / 挫败的,0. Direct NRC,Direct NRC Included (358 Words)
captivating,captivating,4,扣人心弦引人入胜的,0. Direct NRC,Direct NRC Included (358 Words)
phobia,phobia,4,恐惧症 / 恐高心理,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
disconcerting,disconcerting,4,令人不安的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
dreaded,dread,4,令人害怕恐惧的 / 提心吊胆,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
dreading,dread,4,感到十分恐惧担心的,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
emotion,emotion,4,情感 / 情绪,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
exhilarated,exhilarated,4,感到无比兴奋酣畅的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
embarrassed,embarrassed,4,感到尴尬难堪的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
giddy,giddy,4,兴奋得头晕目眩欢欣的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hungry,hungry,4,贪婪的（money hungry）,0. Direct NRC,Direct NRC Included (358 Words)
irritated,irritated,4,感到恼火烦躁的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
irritating,irritating,4,令人烦躁恼火的,0. Direct NRC,Direct NRC Included (358 Words)
ominous,ominous,4,不详的 / 不妙的,0. Direct NRC,Direct NRC Included (358 Words)
peacefulness,peacefulness,4,宁静详和感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
reassure,reassure,3,使人感到安心放心的,0. Direct NRC,Direct NRC Included (358 Words)
heartfelt,heartfelt,3,真挚的 / 出自内心的,0. Direct NRC,Direct NRC Included (358 Words)
horribly,horrible,3,糟糕恐怖地,0. Direct NRC,Direct NRC Included (358 Words)
incomprehensible,incomprehensible,3,难以理解令人困惑的,0. Direct NRC,Direct NRC Included (358 Words)
indulge,indulge,3,尽情享受 / 犒劳自己,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
joking,joking,3,开玩笑的,0. Direct NRC,Direct NRC Included (358 Words)
marvelously,marvelously,3,奇妙极其出色地,0. Direct NRC,Direct NRC Included (358 Words)
overjoyed,overjoyed,3,欣喜若狂的,0. Direct NRC,Direct NRC Included (358 Words)
peacefully,peacefully,3,宁静和平地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
sympathy,sympathy,3,同情 / 体谅,0. Direct NRC,Direct NRC Included (358 Words)
remorse,remorse,3,懊悔 / 悔恨,0. Direct NRC,Direct NRC Included (358 Words)
rickety,rickety,3,摇摇欲坠的,0. Direct NRC,Direct NRC Included (358 Words)
scaring,scare,3,使人害怕恐惧的,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
securely,securely,3,安全平稳地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
sickening,sickening,3,令人作呕恶心的,0. Direct NRC,Direct NRC Included (358 Words)
spoilt,spoilt,3,被破坏败兴的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
uneasiness,uneasiness,3,不安 / 忐忑感,0. Direct NRC,Direct NRC Included (358 Words)
unsettled,unsettled,3,心神不宁忐忑的,0. Direct NRC,Direct NRC Included (358 Words)
happiness,happiness,3,幸福快乐感,0. Direct NRC,Direct NRC Included (358 Words)
harrowing,harrowing,3,令人触目惊心惊恐的,0. Direct NRC,Direct NRC Included (358 Words)
curiosity,curiosity,3,好奇心 / 探索欲,0. Direct NRC,Direct NRC Included (358 Words)
guilty,guilty,3,内疚内疚感,0. Direct NRC,Direct NRC Included (358 Words)
carefree,carefree,3,无忧无虑自在的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
ecstasy,ecstasy,3,狂喜 / 极乐状态,0. Direct NRC,Direct NRC Included (358 Words)
aggressively,aggressively,3,挑衅攻击地 / 极其恶劣地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
ambivalent,ambivalent,3,矛盾复杂心理的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
apprehensions,apprehension,3,顾虑 / 忧虑不安,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
aprehensive,apprehensive,3,感到忧虑不安的（错别字变体）,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
astonished,astonished,3,感到十分惊异惊叹的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
beneficial,beneficial,3,有益的 / 有帮助的,0. Direct NRC,Direct NRC Included (358 Words)
candid,candid,3,坦率真诚的,0. Direct NRC,Direct NRC Included (358 Words)
astounded,astounded,3,感到十分震惊震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
cheer,cheer,3,振奋 / 欢呼,0. Direct NRC,Direct NRC Included (358 Words)
deaf,deaf,3,听而不闻冷漠的（fell on deaf ears）,0. Direct NRC,Direct NRC Included (358 Words)
dreaming,dreaming,3,梦寐以求 / 心驰神往,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
compassion,compassion,3,同理心 / 关切,0. Direct NRC,Direct NRC Included (358 Words)
disappointingly,disappointed,3,令人失望地,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
dissatisfied,dissatisfied,3,感到不满意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
dazzled,dazzled,3,目眩神迷震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
daunting,daunting,3,令人望而生畏胆怯的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
compassionate,compassionate,3,富有同理心体贴的,0. Direct NRC,Direct NRC Included (358 Words)
humility,humility,2,谦逊贴心,0. Direct NRC,Direct NRC Included (358 Words)
threaten,threaten,2,受到威胁/令人不安的,0. Direct NRC,Direct NRC Included (358 Words)
suffering,suffering,2,受苦受难不适,0. Direct NRC,Direct NRC Included (358 Words)
squeamish,squeamish,2,胆怯恶心体质易受惊的,0. Direct NRC,Direct NRC Included (358 Words)
rigid,rigid,2,刻板不近人情的,0. Direct NRC,Direct NRC Included (358 Words)
pumped,pumped,2,兴奋激动的 / 跃跃欲试,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
positively,positively,2,积极正面地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
offensive,offensive,2,冒犯的 / 令人不适的,0. Direct NRC,Direct NRC Included (358 Words)
primo,primo,2,一流的 / 顶级的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
favourable,favourable,2,有利的 / 良好的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
desperate,desperate,2,感到绝望迫切的,0. Direct NRC,Direct NRC Included (358 Words)
darling,darling,2,可爱的 / 亲切的,0. Direct NRC,Direct NRC Included (358 Words)
compliant,compliant,2,顺从的 / 合规安心的,0. Direct NRC,Direct NRC Included (358 Words)
clever,clever,2,聪明睿智的,0. Direct NRC,Direct NRC Included (358 Words)
bothering,bothering,2,打扰令人烦心的,0. Direct NRC,Direct NRC Included (358 Words)
animated,animated,2,生动的 / 活力充沛的,0. Direct NRC,Direct NRC Included (358 Words)
agreeable,agreeable,2,宜人的 / 令人满意的,0. Direct NRC,Direct NRC Included (358 Words)
exhausting,exhausting,2,令人筋疲力尽的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
shady,shady,1,可疑不诚信的,0. Direct NRC,Direct NRC Included (358 Words)
quell,quell,1,镇定 / 平息（恐惧）,0. Direct NRC,Direct NRC Included (358 Words)
racist,racist,1,种族歧视的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
regrettably,regrettably,1,遗憾地 / 抱歉,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
reward,reward,1,赏心悦目的奖赏体验,0. Direct NRC,Direct NRC Included (358 Words)
wasbeautiful,wasbeautiful,1,美丽动人的（美感）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
truthful,truthful,1,真实可信的,0. Direct NRC,Direct NRC Included (358 Words)
ungodly,ungodly,1,糟糕恶劣的,0. Direct NRC,Direct NRC Included (358 Words)
unwell,unwell,1,身体不适的,0. Direct NRC,Direct NRC Included (358 Words)
immeasurable,immeasurable,1,无法估量的 / 极致的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
whelmed,whelmed,1,被深深震撼淹没的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
worthful,worthful,1,物有所值的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
miraculously,miraculously,1,奇迹般地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
grumpy,grumpy,1,脾气暴躁的 / 不悦的,0. Direct NRC,Direct NRC Included (358 Words)
hostile,hostile,1,敌意的 / 恶劣的,0. Direct NRC,Direct NRC Included (358 Words)
hazardous,hazardous,1,危险的 / 有隐患的,0. Direct NRC,Direct NRC Included (358 Words)
harsh,harsh,1,严酷恶劣的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
grandest,grandest,1,最宏大的 / 极其壮丽的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
gloom,gloom,1,阴郁忧伤,0. Direct NRC,Direct NRC Included (358 Words)
flaky,flaky,1,不靠谱的 / 经常取消的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
disrespectful,disrespectful,1,无礼的 / 冒犯的,0. Direct NRC,Direct NRC Included (358 Words)
dismay,dismay,1,感到沮丧吃惊,0. Direct NRC,Direct NRC Included (358 Words)
decency,decency,1,礼貌体面 / 服务缺乏礼貌体面,0. Direct NRC,Direct NRC Included (358 Words)
bluntly,bluntly,1,直言不讳地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
bluest,bluest,1,最湛蓝的（极致景色）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
askance,askance,1,怀疑斜视地（不信任）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
zing,zing,1,刺激快感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
