word,canonical_lemma,chinese_translation,our_emotion_category,affect_type,frequency_21215,in_nrc_lexicon,nrc_8_emotions,nrc_polarities,nrc_raw_list
nervousness,nervousness,紧张不安的情绪,Unclassified,E1_State (Direct Internal Affective State),11,True,fear,Unmapped in NRC,['fear']
rewarding,rewarding,非常有成就感/物超所值的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),11,False,Unmapped in NRC,Unmapped in NRC,[]
satisfying,satisfying,令人称心满意的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),11,False,Unmapped in NRC,Unmapped in NRC,[]
sketchy,sketchy,令人不安可疑的,Unclassified,E1_E2_Candidate,11,True,Unmapped in NRC,negative,['negative']
slick,slick,熟练专业/光滑的,Unclassified,E1_E2_Candidate,11,False,Unmapped in NRC,Unmapped in NRC,[]
superlative,superlative,顶级极致赞赏的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),11,False,Unmapped in NRC,Unmapped in NRC,[]
surprising,surprising,令人出乎意料惊喜的,Surprise,E2_Appraisal (Stimulus/Service Attribute),11,True,surprise,Unmapped in NRC,['surprise']
trepidation,trepidation,惊恐战栗 / 不安,Unclassified,E1_E2_Candidate,11,True,"anticipation, fear, surprise",negative,"['anticipation', 'fear', 'negative', 'surprise']"
wary,wary,警惕顾虑的,Unclassified,E1_E2_Candidate,11,True,fear,Unmapped in NRC,['fear']
badly,badly,严重地 / 糟糕地,Unclassified,E1_E2_Candidate,10,True,sadness,negative,"['negative', 'sadness']"
conscientious,conscientious,认真负责的,Unclassified,E1_E2_Candidate,10,True,trust,positive,"['positive', 'trust']"
ecstatic,ecstatic,狂喜的 / 极度兴奋的,Unclassified,E1_E2_Candidate,10,True,"anticipation, joy, surprise",positive,"['anticipation', 'joy', 'positive', 'surprise']"
emotional,emotional,情感上的 / 动情的,Unclassified,E1_E2_Candidate,10,False,Unmapped in NRC,Unmapped in NRC,[]
friendlier,friendlier,更加亲切友好的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),10,False,Unmapped in NRC,Unmapped in NRC,[]
improvement,improvement,体验改善 / 提升,Unclassified,E2_Appraisal (Stimulus/Service Attribute),10,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
improving,improving,不断改善令人满意的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),10,True,Unmapped in NRC,positive,['positive']
jealous,jealous,令人羡慕嫉妒的,Unclassified,E1_State (Direct Internal Affective State),10,True,"anger, disgust",negative,"['anger', 'disgust', 'negative']"
mesmerized,mesmerized,被深深吸引迷住的,Fascination / Awe,E1_State (Direct Internal Affective State),10,False,Unmapped in NRC,Unmapped in NRC,[]
quaint,quaint,古朴宜人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),10,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
raving,raving,赞不绝口极力推荐的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),10,True,"anger, anticipation, fear, joy, surprise",negative,"['anger', 'anticipation', 'fear', 'joy', 'negative', 'surprise']"
stability,stability,平稳安心感,Unclassified,E2_Appraisal (Stimulus/Service Attribute),10,False,Unmapped in NRC,Unmapped in NRC,[]
stunned,stunned,感到目瞪口呆震撼的,Surprise / Amazement,E1_State (Direct Internal Affective State),10,True,"fear, surprise",negative,"['fear', 'negative', 'surprise']"
stunningly,stunningly,令人震撼地,Unclassified,E1_E2_Candidate,10,False,Unmapped in NRC,Unmapped in NRC,[]
unfortunate,unfortunate,不幸遗憾的,Unclassified,E1_E2_Candidate,10,True,sadness,negative,"['negative', 'sadness']"
wonderfull,wonderful,令人惊叹绝妙的 (错别字变体),Joy / Wonder,E2_Appraisal (Stimulus/Service Attribute),10,True,"joy, surprise, trust",positive,"['joy', 'positive', 'surprise', 'trust']"
automatically,automatically,自动地 / 自然而然,Unclassified,E1_E2_Candidate,9,False,Unmapped in NRC,Unmapped in NRC,[]
awkward,awkward,尴尬的 / 别扭的,Unclassified,E1_E2_Candidate,9,False,Unmapped in NRC,Unmapped in NRC,[]
bummer,bummer,令人扫兴扫兴的事,Unclassified,E2_Appraisal (Stimulus/Service Attribute),9,True,"anger, disgust",negative,"['anger', 'disgust', 'negative']"
cheerfully,cheerfully,欢快愉悦地,Unclassified,E1_State (Direct Internal Affective State),9,False,Unmapped in NRC,Unmapped in NRC,[]
claustrophobia,claustrophobia,幽闭恐惧症（密闭机舱焦虑）,Fear / Anxiety,E1_State (Direct Internal Affective State),9,False,Unmapped in NRC,Unmapped in NRC,[]
compliment,compliment,赞美 / 赞赏评价,Unclassified,E2_Appraisal (Stimulus/Service Attribute),9,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
effortless,effortless,轻松平稳的,Unclassified,E1_E2_Candidate,9,False,Unmapped in NRC,Unmapped in NRC,[]
hassles,hassles,烦心事 / 摩擦,Unclassified,E1_E2_Candidate,9,False,Unmapped in NRC,Unmapped in NRC,[]
miserable,miserable,极度痛苦糟糕的,Unclassified,E1_State (Direct Internal Affective State),9,True,"anger, disgust, sadness",negative,"['anger', 'disgust', 'negative', 'sadness']"
stuffed,stuffed,塞满的 / 憋闷不适的,Unclassified,E1_E2_Candidate,9,False,Unmapped in NRC,Unmapped in NRC,[]
susceptible,susceptible,易受影响脆弱的,Unclassified,E1_E2_Candidate,9,True,Unmapped in NRC,negative,['negative']
terribly,terribly,极度负面地 / 抱歉,Unclassified,E1_E2_Candidate,9,True,sadness,Unmapped in NRC,['sadness']
unspoiled,unspoiled,未经破坏原始纯粹的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),9,False,Unmapped in NRC,Unmapped in NRC,[]
annoyed,annoyed,感到烦恼的 / 恼火的,Unclassified,E1_State (Direct Internal Affective State),8,False,Unmapped in NRC,Unmapped in NRC,[]
cherished,cherish,珍视铭记的,Love / Affection,E1_State (Direct Internal Affective State),8,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
dissapointed,disappointed,感到失望的（错别字变体）,Disappointment,E1_State (Direct Internal Affective State),8,True,"anger, disgust, sadness",negative,"['anger', 'disgust', 'negative', 'sadness']"
exhausted,exhausted,精疲力竭极为疲惫的,Unclassified,E1_State (Direct Internal Affective State),8,True,sadness,negative,"['negative', 'sadness']"
exhilaration,exhilaration,极度兴奋快感,Unclassified,E1_State (Direct Internal Affective State),8,True,"joy, surprise",positive,"['joy', 'positive', 'surprise']"
frightened,frightened,感到受惊吓害怕的,Fear,E1_State (Direct Internal Affective State),8,True,"fear, surprise",negative,"['fear', 'negative', 'surprise']"
frustration,frustration,挫败感 / 烦恼,Unclassified,E1_E2_Candidate,8,True,anger,negative,"['anger', 'negative']"
grace,grace,优雅 / 良好风度,Unclassified,E2_Appraisal (Stimulus/Service Attribute),8,True,Unmapped in NRC,positive,['positive']
mindful,mindful,细心周到的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),8,True,Unmapped in NRC,positive,['positive']
nerve,nerve,紧张神经,Unclassified,E1_E2_Candidate,8,True,Unmapped in NRC,positive,['positive']
poorly,poorly,糟糕地 / 差劲地,Unclassified,E1_E2_Candidate,8,True,Unmapped in NRC,negative,['negative']
shocked,shocked,感到震惊惊吓的,Surprise / Shock,E1_State (Direct Internal Affective State),8,False,Unmapped in NRC,Unmapped in NRC,[]
spoiled,spoiled,好心情被破坏毁掉的,Unclassified,E1_State (Direct Internal Affective State),8,False,Unmapped in NRC,Unmapped in NRC,[]
unstable,unstable,不稳定摇晃令人担心的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),8,True,"fear, surprise",negative,"['fear', 'negative', 'surprise']"
yummy,yummy,美味愉悦的,Unclassified,E1_E2_Candidate,8,False,Unmapped in NRC,Unmapped in NRC,[]
alas,alas,唉 / 遗憾的是,Unclassified,E1_E2_Candidate,7,False,Unmapped in NRC,Unmapped in NRC,[]
captivated,captivated,被深深吸引着迷的,Unclassified,E1_State (Direct Internal Affective State),7,False,Unmapped in NRC,Unmapped in NRC,[]
classy,classy,高端优雅的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),7,False,Unmapped in NRC,Unmapped in NRC,[]
confusion,confusion,困惑 / 混乱,Unclassified,E1_E2_Candidate,7,True,"anger, fear",negative,"['anger', 'fear', 'negative']"
curious,curious,好奇求知的,Unclassified,E1_State (Direct Internal Affective State),7,False,Unmapped in NRC,Unmapped in NRC,[]
enthusiastically,enthusiastically,热情高涨地,Unclassified,E1_State (Direct Internal Affective State),7,False,Unmapped in NRC,Unmapped in NRC,[]
exhilerating,exhilarating,令人兴奋刺激酣畅地（错别字变体）,Excitement,E2_Appraisal (Stimulus/Service Attribute),7,False,Unmapped in NRC,Unmapped in NRC,[]
gushing,gushing,滔滔不绝赞赞称道的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),7,False,Unmapped in NRC,Unmapped in NRC,[]
hesitating,hesitating,犹豫顾虑（心理活动）,Unclassified,E1_State (Direct Internal Affective State),7,False,Unmapped in NRC,Unmapped in NRC,[]
hopeful,hopeful,怀抱希望的,Unclassified,E1_E2_Candidate,7,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
laughter,laughter,欢笑 / 笑声,Unclassified,E1_E2_Candidate,7,True,"anticipation, joy, surprise",positive,"['anticipation', 'joy', 'positive', 'surprise']"
painful,painful,痛苦的 / 令人难受的,Unclassified,E1_E2_Candidate,7,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
panic,panic,恐慌 / 惊恐状态,Fear / Panic,E1_State (Direct Internal Affective State),7,True,fear,negative,"['fear', 'negative']"
powerful,powerful,强烈的 / 感人的,Unclassified,E1_E2_Candidate,7,True,"anger, anticipation, disgust, fear, joy, trust",positive,"['anger', 'anticipation', 'disgust', 'fear', 'joy', 'positive', 'trust']"
relieved,relieved,宽慰的 / 松了一口气,Unclassified,E1_State (Direct Internal Affective State),7,False,Unmapped in NRC,Unmapped in NRC,[]
reputable,reputable,信誉良好的,Unclassified,E1_E2_Candidate,7,True,trust,positive,"['positive', 'trust']"
ridiculous,ridiculous,荒谬的 / 离谱的,Unclassified,E1_E2_Candidate,7,True,"anger, disgust",negative,"['anger', 'disgust', 'negative']"
rudely,rudely,粗鲁地 / 无礼地,Unclassified,E1_E2_Candidate,7,False,Unmapped in NRC,Unmapped in NRC,[]
serenity,serenity,宁静 / 祥和,Unclassified,E1_E2_Candidate,7,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
strange,strange,怪异不安的,Unclassified,E1_E2_Candidate,7,False,Unmapped in NRC,Unmapped in NRC,[]
suffered,suffered,遭受身体/晕眩痛苦,Unclassified,E1_State (Direct Internal Affective State),7,False,Unmapped in NRC,Unmapped in NRC,[]
unhappy,unhappy,不高兴不满意的,Unclassified,E1_State (Direct Internal Affective State),7,True,"anger, disgust, sadness",negative,"['anger', 'disgust', 'negative', 'sadness']"
unpleasant,unpleasant,令人不快令人难受的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),7,True,"disgust, sadness",negative,"['disgust', 'negative', 'sadness']"
weird,weird,古怪令人不安的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),7,True,disgust,negative,"['disgust', 'negative']"
worrying,worry,令人担心的,Anxiety / Worry,E2_Appraisal (Stimulus/Service Attribute),7,True,"anticipation, fear, sadness",negative,"['anticipation', 'fear', 'negative', 'sadness']"
amaze,amaze,使惊叹 / 惊奇,Amazement,E2_Appraisal (Stimulus/Service Attribute),6,True,surprise,Unmapped in NRC,['surprise']
appropriately,appropriately,恰当地 / 贴心地,Unclassified,E1_E2_Candidate,6,False,Unmapped in NRC,Unmapped in NRC,[]
blind,blind,盲目的 / 视线受阻的,Unclassified,E1_E2_Candidate,6,True,Unmapped in NRC,negative,['negative']
broad,broad,宽广的,Unclassified,E1_E2_Candidate,6,False,Unmapped in NRC,Unmapped in NRC,[]
calmer,calmer,更平静安心的,Unclassified,E1_State (Direct Internal Affective State),6,False,Unmapped in NRC,Unmapped in NRC,[]
casual,casual,随和轻松的,Unclassified,E1_E2_Candidate,6,False,Unmapped in NRC,Unmapped in NRC,[]
discouraged,discouraged,感到灰心气馁的,Unclassified,E1_State (Direct Internal Affective State),6,False,Unmapped in NRC,Unmapped in NRC,[]
enthralled,enthralled,被深深吸引迷住的,Unclassified,E1_State (Direct Internal Affective State),6,False,Unmapped in NRC,Unmapped in NRC,[]
fascinated,fascinated,深深入迷为之倾倒的,Fascination,E1_State (Direct Internal Affective State),6,False,Unmapped in NRC,Unmapped in NRC,[]
frightening,frightening,令人惊恐吓人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6,False,Unmapped in NRC,Unmapped in NRC,[]
gratitude,gratitude,感激 / 感恩,Unclassified,E1_E2_Candidate,6,True,joy,positive,"['joy', 'positive']"
hug,hug,拥抱 / 温暖关怀,Unclassified,E1_E2_Candidate,6,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
inspirational,inspirational,鼓舞人心的,Unclassified,E1_E2_Candidate,6,False,Unmapped in NRC,Unmapped in NRC,[]
jovial,jovial,欢快风趣的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6,True,joy,positive,"['joy', 'positive']"
precision,precision,精准靠谱的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6,True,Unmapped in NRC,positive,['positive']
reassurance,reassurance,令人放心的安抚感,Relief / Reassurance,E1_State (Direct Internal Affective State),6,True,trust,positive,"['positive', 'trust']"
relief,relief,轻松如释重负感,Relief,E1_State (Direct Internal Affective State),6,True,Unmapped in NRC,positive,['positive']
sublime,sublime,崇高壮丽绝美的（Aesthetic Emotion/Awe）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6,False,Unmapped in NRC,Unmapped in NRC,[]
timid,timid,胆怯害羞的,Fear / Nervousness,E1_State (Direct Internal Affective State),6,True,"fear, sadness",negative,"['fear', 'negative', 'sadness']"
warmest,warmest,最暖心亲切的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6,False,Unmapped in NRC,Unmapped in NRC,[]
apprehension,apprehension,忧虑 / 疑虑不安,Anxiety / Fear,E1_State (Direct Internal Affective State),5,True,fear,negative,"['fear', 'negative']"
comforted,comforted,感到安慰安心的,Comfort / Relief,E1_State (Direct Internal Affective State),5,False,Unmapped in NRC,Unmapped in NRC,[]
envy,envy,羡慕 / 嫉妒,Envy,E1_State (Direct Internal Affective State),5,False,Unmapped in NRC,Unmapped in NRC,[]
faultless,faultless,无可挑剔完美的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,True,trust,positive,"['positive', 'trust']"
gloomy,gloomy,阴沉的 / 沮丧的,Unclassified,E1_E2_Candidate,5,True,sadness,negative,"['negative', 'sadness']"
hated,hate,讨厌 / 极为憎恶的,Anger / Dislike,E1_State (Direct Internal Affective State),5,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
hates,hate,厌恶 / 讨厌,Anger / Dislike,E1_State (Direct Internal Affective State),5,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
intimidating,intimidating,令人胆怯令人畏惧的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,False,Unmapped in NRC,Unmapped in NRC,[]
jitters,jitters,忐忑不安 / 紧张发抖感,Nervousness / Anxiety,E1_State (Direct Internal Affective State),5,False,Unmapped in NRC,Unmapped in NRC,[]
joyful,joyful,充满喜悦欢快的,Unclassified,E1_State (Direct Internal Affective State),5,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
luscious,luscious,秀美令人心旷神怡的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,True,"anticipation, joy",positive,"['anticipation', 'joy', 'positive']"
marveled,marvel,惊叹赞赏的,Wonder / Awe,E1_State (Direct Internal Affective State),5,True,surprise,positive,"['positive', 'surprise']"
overwhelmingly,overwhelmingly,压倒性震撼地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,False,Unmapped in NRC,Unmapped in NRC,[]
pity,pity,遗憾 / 同情怜悯,Pity / Sadness,E1_State (Direct Internal Affective State),5,True,sadness,Unmapped in NRC,['sadness']
scare,scare,吓人 / 引发恐慌的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,True,"anger, anticipation, fear, surprise",negative,"['anger', 'anticipation', 'fear', 'negative', 'surprise']"
shock,shock,震惊 / 冲击,Surprise / Shock,E1_State (Direct Internal Affective State),5,True,"anger, fear, surprise",negative,"['anger', 'fear', 'negative', 'surprise']"
stressful,stressful,令人压力重重焦虑的（Stress/Anxiety State）,Unclassified,E1_State (Direct Internal Affective State),5,False,Unmapped in NRC,Unmapped in NRC,[]
suprise,surprise,惊喜 / 意料之外（错别字变体）,Surprise,E1_State (Direct Internal Affective State),5,True,"fear, joy, surprise",positive,"['fear', 'joy', 'positive', 'surprise']"
wowed,wowed,被深深惊叹震撼的,Amazement / Awe,E1_State (Direct Internal Affective State),5,False,Unmapped in NRC,Unmapped in NRC,[]
captivating,captivating,扣人心弦引人入胜的,Fascination / Awe,E2_Appraisal (Stimulus/Service Attribute),4,True,Unmapped in NRC,positive,['positive']
disconcerting,disconcerting,令人不安的,Unclassified,E1_E2_Candidate,4,False,Unmapped in NRC,Unmapped in NRC,[]
dreaded,dread,令人害怕恐惧的 / 提心吊胆,Fear / Dread,E1_State (Direct Internal Affective State),4,True,"anticipation, fear",negative,"['anticipation', 'fear', 'negative']"
dreading,dread,感到十分恐惧担心的,Fear / Dread,E1_State (Direct Internal Affective State),4,True,"anticipation, fear",negative,"['anticipation', 'fear', 'negative']"
embarrassed,embarrassed,感到尴尬难堪的,Unclassified,E1_State (Direct Internal Affective State),4,False,Unmapped in NRC,Unmapped in NRC,[]
emotion,emotion,情感 / 情绪,Unclassified,E1_E2_Candidate,4,False,Unmapped in NRC,Unmapped in NRC,[]
exhilarated,exhilarated,感到无比兴奋酣畅的,Excitement / Joy,E1_State (Direct Internal Affective State),4,False,Unmapped in NRC,Unmapped in NRC,[]
frustrated,frustrated,感到沮丧的 / 挫败的,Unclassified,E1_State (Direct Internal Affective State),4,True,anger,negative,"['anger', 'negative']"
giddy,giddy,兴奋得头晕目眩欢欣的,Excitement / Joy,E1_State (Direct Internal Affective State),4,False,Unmapped in NRC,Unmapped in NRC,[]
hungry,hungry,贪婪的（money hungry）,Unclassified,E1_E2_Candidate,4,True,anticipation,negative,"['anticipation', 'negative']"
irritated,irritated,感到恼火烦躁的,Unclassified,E1_State (Direct Internal Affective State),4,False,Unmapped in NRC,Unmapped in NRC,[]
irritating,irritating,令人烦躁恼火的,Annoyance / Irritation,E2_Appraisal (Stimulus/Service Attribute),4,True,"anger, disgust",negative,"['anger', 'disgust', 'negative']"
nasty,nasty,令人厌恶的 / 恶劣的,Unclassified,E1_E2_Candidate,4,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
ominous,ominous,不详的 / 不妙的,Unclassified,E1_E2_Candidate,4,True,"anticipation, fear",negative,"['anticipation', 'fear', 'negative']"
peacefulness,peacefulness,宁静详和感,Calm / Serenity,E1_State (Direct Internal Affective State),4,False,Unmapped in NRC,Unmapped in NRC,[]
phobia,phobia,恐惧症 / 恐高心理,Fear,E1_State (Direct Internal Affective State),4,False,Unmapped in NRC,Unmapped in NRC,[]
pleasing,pleasing,令人愉悦满意的,Pleasure / Satisfaction,E2_Appraisal (Stimulus/Service Attribute),4,False,Unmapped in NRC,Unmapped in NRC,[]
profound,profound,深刻震撼的,Unclassified,E1_E2_Candidate,4,False,Unmapped in NRC,Unmapped in NRC,[]
regretting,regret,感到后悔遗憾的,Regret,E1_State (Direct Internal Affective State),4,True,sadness,negative,"['negative', 'sadness']"
spellbinding,spellbinding,扣人心弦迷人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),4,False,Unmapped in NRC,Unmapped in NRC,[]
spellbound,spellbound,出神为之入迷的,Fascination / Awe,E1_State (Direct Internal Affective State),4,False,Unmapped in NRC,Unmapped in NRC,[]
stoked,stoked,极为激动期待的,Excitement,E1_State (Direct Internal Affective State),4,False,Unmapped in NRC,Unmapped in NRC,[]
subtle,subtle,微妙精细的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),4,False,Unmapped in NRC,Unmapped in NRC,[]
suprised,surprised,感到惊喜惊讶的（错别字变体）,Surprise,E1_State (Direct Internal Affective State),4,True,surprise,Unmapped in NRC,['surprise']
thrills,thrills,刺激 / 快感,Unclassified,E1_E2_Candidate,4,False,Unmapped in NRC,Unmapped in NRC,[]
tranquil,tranquil,清幽宁静的（Calmness/Serenity State）,Unclassified,E1_State (Direct Internal Affective State),4,True,joy,positive,"['joy', 'positive']"
tranquility,tranquility,宁静 / 平和,Unclassified,E1_E2_Candidate,4,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
underwhelmed,underwhelmed,大失所望未达预期的,Disappointment,E1_State (Direct Internal Affective State),4,False,Unmapped in NRC,Unmapped in NRC,[]
unfair,unfair,不公平的 / 冤枉的,Unclassified,E1_E2_Candidate,4,True,"anger, disgust, sadness",negative,"['anger', 'disgust', 'negative', 'sadness']"
unfriendly,unfriendly,不友善的,Unclassified,E1_E2_Candidate,4,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
unnerving,unnerving,令人发慌不安吓人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),4,False,Unmapped in NRC,Unmapped in NRC,[]
wicked,wicked,太棒了 / 绝妙的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),4,True,fear,negative,"['fear', 'negative']"
wildest,wildest,最疯狂的（狂想）,Unclassified,E1_E2_Candidate,4,False,Unmapped in NRC,Unmapped in NRC,[]
aggressively,aggressively,挑衅攻击地 / 极其恶劣地,Unclassified,E1_E2_Candidate,3,False,Unmapped in NRC,Unmapped in NRC,[]
ambivalent,ambivalent,矛盾复杂心理的,Mixed Emotion,E1_State (Direct Internal Affective State),3,False,Unmapped in NRC,Unmapped in NRC,[]
apprehensions,apprehension,顾虑 / 忧虑不安,Anxiety / Fear,E1_State (Direct Internal Affective State),3,True,fear,negative,"['fear', 'negative']"
aprehensive,apprehensive,感到忧虑不安的（错别字变体）,Anxiety / Fear,E1_State (Direct Internal Affective State),3,True,"anticipation, fear",negative,"['anticipation', 'fear', 'negative']"
astonished,astonished,感到十分惊异惊叹的,Amazement / Surprise,E1_State (Direct Internal Affective State),3,False,Unmapped in NRC,Unmapped in NRC,[]
astounded,astounded,感到十分震惊震撼的,Amazement,E1_State (Direct Internal Affective State),3,False,Unmapped in NRC,Unmapped in NRC,[]
beneficial,beneficial,有益的 / 有帮助的,Unclassified,E1_E2_Candidate,3,True,Unmapped in NRC,positive,['positive']
candid,candid,坦率真诚的,Unclassified,E1_E2_Candidate,3,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
carefree,carefree,无忧无虑自在的,Unclassified,E1_State (Direct Internal Affective State),3,False,Unmapped in NRC,Unmapped in NRC,[]
cheer,cheer,振奋 / 欢呼,Unclassified,E1_E2_Candidate,3,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
compassion,compassion,同理心 / 关切,Compassion,E1_State (Direct Internal Affective State),3,True,fear,positive,"['fear', 'positive']"
compassionate,compassionate,富有同理心体贴的,Compassion,E2_Appraisal (Stimulus/Service Attribute),3,True,Unmapped in NRC,positive,['positive']
curiosity,curiosity,好奇心 / 探索欲,Unclassified,E1_State (Direct Internal Affective State),3,True,"anticipation, surprise",positive,"['anticipation', 'positive', 'surprise']"
daunting,daunting,令人望而生畏胆怯的,Fear / Anxiety,E2_Appraisal (Stimulus/Service Attribute),3,False,Unmapped in NRC,Unmapped in NRC,[]
dazzled,dazzled,目眩神迷震撼的,Amazement / Awe,E1_State (Direct Internal Affective State),3,False,Unmapped in NRC,Unmapped in NRC,[]
deaf,deaf,听而不闻冷漠的（fell on deaf ears）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,True,Unmapped in NRC,negative,['negative']
disappointingly,disappointed,令人失望地,Disappointment,E2_Appraisal (Stimulus/Service Attribute),3,True,"anger, disgust, sadness",negative,"['anger', 'disgust', 'negative', 'sadness']"
dissatisfied,dissatisfied,感到不满意的,Disappointment / Dissatisfaction,E1_State (Direct Internal Affective State),3,False,Unmapped in NRC,Unmapped in NRC,[]
dreaming,dreaming,梦寐以求 / 心驰神往,Unclassified,E1_State (Direct Internal Affective State),3,False,Unmapped in NRC,Unmapped in NRC,[]
ecstasy,ecstasy,狂喜 / 极乐状态,Intense Joy,E1_State (Direct Internal Affective State),3,True,"anticipation, joy",positive,"['anticipation', 'joy', 'positive']"
guilty,guilty,内疚内疚感,Guilt,E1_State (Direct Internal Affective State),3,True,"anger, sadness",negative,"['anger', 'negative', 'sadness']"
happiness,happiness,幸福快乐感,Unclassified,E1_State (Direct Internal Affective State),3,True,"anticipation, joy",positive,"['anticipation', 'joy', 'positive']"
harrowing,harrowing,令人触目惊心惊恐的,Fear / Dread,E2_Appraisal (Stimulus/Service Attribute),3,True,fear,negative,"['fear', 'negative']"
heartfelt,heartfelt,真挚的 / 出自内心的,Unclassified,E1_E2_Candidate,3,True,"joy, sadness, trust",positive,"['joy', 'positive', 'sadness', 'trust']"
horribly,horrible,糟糕恐怖地,Disgust / Distress,E2_Appraisal (Stimulus/Service Attribute),3,True,Unmapped in NRC,negative,['negative']
incomprehensible,incomprehensible,难以理解令人困惑的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,True,Unmapped in NRC,negative,['negative']
indulge,indulge,尽情享受 / 犒劳自己,Unclassified,E1_State (Direct Internal Affective State),3,False,Unmapped in NRC,Unmapped in NRC,[]
joking,joking,开玩笑的,Unclassified,E1_E2_Candidate,3,True,Unmapped in NRC,positive,['positive']
marvelously,marvelously,奇妙极其出色地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,True,joy,positive,"['joy', 'positive']"
overjoyed,overjoyed,欣喜若狂的,Joy,E1_State (Direct Internal Affective State),3,True,joy,positive,"['joy', 'positive']"
peacefully,peacefully,宁静和平地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,False,Unmapped in NRC,Unmapped in NRC,[]
reassure,reassure,使人感到安心放心的,Relief / Reassurance,E2_Appraisal (Stimulus/Service Attribute),3,True,trust,positive,"['positive', 'trust']"
remorse,remorse,懊悔 / 悔恨,Regret / Guilt,E1_State (Direct Internal Affective State),3,True,sadness,negative,"['negative', 'sadness']"
rickety,rickety,摇摇欲坠的,Unclassified,E1_E2_Candidate,3,True,Unmapped in NRC,negative,['negative']
scaring,scare,使人害怕恐惧的,Fear,E2_Appraisal (Stimulus/Service Attribute),3,True,"anger, anticipation, fear, surprise",negative,"['anger', 'anticipation', 'fear', 'negative', 'surprise']"
securely,securely,安全平稳地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,False,Unmapped in NRC,Unmapped in NRC,[]
sickening,sickening,令人作呕恶心的,Disgust,E2_Appraisal (Stimulus/Service Attribute),3,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
spoilt,spoilt,被破坏败兴的,Unclassified,E1_E2_Candidate,3,False,Unmapped in NRC,Unmapped in NRC,[]
sympathy,sympathy,同情 / 体谅,Sympathy,E1_State (Direct Internal Affective State),3,True,sadness,positive,"['positive', 'sadness']"
uneasiness,uneasiness,不安 / 忐忑感,Anxiety,E1_State (Direct Internal Affective State),3,True,"anticipation, sadness",negative,"['anticipation', 'negative', 'sadness']"
