word,chinese_translation,affect_type,stage_origin,frequency_21215,review_count_21215,example_context
encouraged,深受鼓舞的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),44,43,"review_b128c609e722496c301a2e17 :: Seamless experience throughout, especially given the variable weather.  We were able to delay our experience and still do part of it.  The views were breathtaking and landing on a ..."
happily,快乐地 / 欣然,E1_E2_Candidate,Stage 1 (500 Discovery),44,43,"review_025d20c297693588730efa16 :: When my Clipper boat ride from Friday Harbor to Seattle was canceled, I researched seaplane options to get me back to Seattle early enough to catch my flight out of SEATAC. Booking..."
quieter,更安静宁静的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),44,44,"review_464537ddf71164ceb86860ab :: Very nice flight, well reviewed. We chose an afternoon flight and it seems that the early morning ones are quieter because we were a little shaken, which makes the experience a lit..."
beautifully,优美地 / 出色地,E1_E2_Candidate,Stage 1 (500 Discovery),43,43,review_508885b267bf10eae6772ac6 :: Our family flew with Friday Harbor Seaplanes from Renton/Seattle to and from San Juan Island. The planes are beautifully maintained and the pilots we had were top notch.  This was ...
rude,粗暴无礼的,E2_Appraisal (Stimulus/Service Attribute),Stage Final (Full Corpus),43,38,"review_14c77a9024b5a000f3d0a440 :: Unfortunately, this was the one cloudy and overcast day on our trip to Denali.  Would have been so much better on a clear day!  That being said, it wasn't the fault of this company..."
calming,令人平息平稳安心的,E2_Appraisal (Stimulus/Service Attribute),Stage Final (Full Corpus),42,39,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...
adventurous,充满冒险刺激感的,E1_E2_Polysemous (State & Appraisal),Stage 2 (2000 Expansion),41,39,"review_995ca5e901e414eab02045ed :: Our tour guide, Bryan (?) was incredible!
He made it a point to give us equal views of the mountain no matter what seat we were in :)
The flight was extrememly smooth, no turbulenc..."
charming,迷人讨喜的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),40,40,"review_baef44aa9a5f04517347694b :: Very nice flight around the wilderness, see 10 bears 3 mooses and caribous
flying out of the heavy crowded of talkeetna is very charming! no stress, very nice approach
over a small..."
responsive,积极回应的 / 贴心的,E1_E2_Candidate,Stage 1 (500 Discovery),40,40,review_c2c6a7fed06757adb42d94c8 :: It was absolutely incredible and the folks at K2 were so good about working around the weather. We were in the area for three days and pushed the trip from the first day to the sec...
touched,深受感动的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),40,39,"review_9e2eeecffb6e74720d2860cd :: We happened by this on the way to Talkeetna and pulled in. Due to the immaculate condition of the facilities and grounds, we decided on the spot to book a half hour wildlife viewin..."
enjoyment,乐趣 / 享受,E1_E2_Candidate,Stage 1 (500 Discovery),39,39,"review_28efb948a887db7190d66ddb :: Trip Reserved: Grand Canyon Deluxe with Hummer
Our Group: 2 families (4 adults, 2 teenage boys)

On a recent trip to Las Vegas, we wanted the views of the South Rim without the 9 h..."
handle,善于处理 / 掌控感,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),39,38,review_d4b7b4ce8f5f74c6293cb6ee :: We used Northwest Seaplanes for a rather large family trip to the Hakai Lodge along the Central British Columbia Coast. They were able to handle our group of 29 with absolute profe...
nicest,最美好的 / 最亲切的,E1_E2_Candidate,Stage 1 (500 Discovery),39,39,review_d62107dbf641d3a1f48cacac :: One of the best things you can do on the island. The most gorgeous views I have ever seen and Eric is the nicest pilot you’ll ever meet....
unsafe,感觉不安全的 / 担惊受怕的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),39,35,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
worst,最糟糕的,E1_E2_Candidate,Stage 1 (500 Discovery),39,39,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
greater,更宏大震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),38,37,"review_d1dfcb69be6315d42fc6e8f8 :: DISCLAIMER: I’m a tour professional living and working here in Alaska and not compensated in any way for this review. I do it because these operators are my FELLOW ALASKANS. 

Ther..."
hospitable,殷勤好客的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),38,37,review_619d8425de350363275a521b :: Very friendly and hospitable owner pilot.  He was guiding all attractions and showed how to fly to my son.  Would love to fly with him again....
pleasantly,令人愉快地,E1_E2_Candidate,Stage 1 (500 Discovery),38,38,review_fac81d8d0af6198b7ccb6653 :: Our group of 6 recently took the trip from Scottsdale to the South Rim of the Grand Canyon.  We were all very happy with the experience.  It was apparent from the start that safety...
stress,压力 / 紧张感,E1_E2_Candidate,Stage 1 (500 Discovery),38,38,"review_baef44aa9a5f04517347694b :: Very nice flight around the wilderness, see 10 bears 3 mooses and caribous
flying out of the heavy crowded of talkeetna is very charming! no stress, very nice approach
over a small..."
wonderfully,极其出色绝妙地,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),38,38,review_529df595bb7ce698950d060d :: This experience was great! Eric gave us a couple of different tour options and we chose the sea cliffs. Highly recommend this! Eric narrated the tour wonderfully.  Views are awesom...
cared,得到无微不至关怀的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),37,37,"review_e1b1a89e3c4bed96938773d0 :: Our family booked the 30 minute seaplane adventure as part of our cruisetour.  Due to rainy weather, we were not able to take the tour but I wanted to acknowledge the wonderful cus..."
delicious,美味愉悦的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),37,35,"review_dfecc79fa219774441487192 :: Jason, the pilot, was fabulous.  Super smooth flight, & the glacier views were unbelievable.  The guided hike was wonderful.  We spotted a black bear.  Lunch was delicious!..."
hopefully,怀着希望地,E1_E2_Candidate,Stage 1 (500 Discovery),37,37,review_18b130e417f63a131817bb98 :: Thank you so much Sergio for making our experience so special! Would definitely recommend most beautiful views. Hopefully we will be back again soon!...
nicely,很好地 / 优雅地,E1_E2_Candidate,Stage 1 (500 Discovery),37,36,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
prompt,及时迅速的,E1_E2_Candidate,Stage 1 (500 Discovery),37,37,"review_cafa5d48525fbc579b076cfe :: Flawless service, prompt pickup at SeaTac early arrival. Who needs the unreliability of WSF when this service is available!..."
cloudless,万里无云的（晴朗美感）,E1_E2_Candidate,Stage 1 (500 Discovery),36,36,"review_a4b6287c1bc22d020d5ff0ab :: Billy was our pilot and did a wonderful job explaining what we were passing. The flight was smooth and, most importantly, felt very safe. 

We landed on Rose Glacier and he took ou..."
marvelous,绝妙的 / 令人惊叹的,E1_E2_Candidate,Stage 1 (500 Discovery),36,34,review_4dd1502a74c3a580f6d299f0 :: This was a great time. It was just marvelous and we felt safe. We recommend this one hundred percent!...
nauseous,恶心晕车的,E1_E2_Candidate,Stage 1 (500 Discovery),36,33,"review_026fa5cb16a2269713f1afd4 :: We had such a great time on our Grand Canyon plane ride! Our pilot was super professional and made sure we felt safe and comfortable, going over all the safety rules before takeoff..."
reliable,可靠的 / 可信赖的,E1_E2_Candidate,Stage 1 (500 Discovery),36,36,review_c48b19006556a0555ed570f4 :: We own a small cabin on a remote (no roads) lake near Talkeetna.  Over the past 10 years we have used Alaska Floatplane Service to fly back and forth from our cabin 2 - 3 times a y...
anxious,焦虑不安的 / 挂虑的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),35,33,review_dbbe3c52797bfc3002cf7881 :: Words are inadequate to describe just how wonderful this experience is.   I was somewhat anxious that it would be hard to see but everyone got a window seat and the headset comment...
bother,打扰 / 烦扰,E1_E2_Candidate,Stage 1 (500 Discovery),35,34,review_97f419444e7e0e0b7b93a411 :: Our helicopter tour was the BEST way to see the Grand Canyon.  Our tour started with photos with our pilot and proceeded to fly over the forest surrounding the Grand Canyon airport...
humorous,幽默风趣的,E1_E2_Candidate,Stage 1 (500 Discovery),35,35,review_aba8195c2b0b93801c285a86 :: Trevor was a great pilot and a great host.He was friendly and humorous as well as knowledgable  in regards to the terrain....
humour,幽默感,E1_E2_Candidate,Stage 1 (500 Discovery),35,34,review_2fa261146b1acb9f24b8d363 :: We stepped off our cruise ship and chose this tour as it sounded good and reasonably priced compared to price on board the ship where we had not booked earlier. We were immediately...
picturesque,风景如画的,E1_E2_Candidate,Stage 1 (500 Discovery),35,35,review_e0ad06300024258fcd9a2b2b :: This was a brilliant afternoon. The setting is picturesque and a great deal of thought and work has gone into making it a pleasant experience overall. The on-site facilities are fi...
superior,优越顶尖的,E1_E2_Candidate,Stage 1 (500 Discovery),35,34,"review_1dcb404ae9a08527dc3fa421 :: Ryan was a superior pilot.  Great experience!  A must-do AK experience.  Staff helpful, kind.  Would recommend for sure!..."
surprisingly,出乎意料赞叹地,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),35,35,"review_52347e1e494c72afee91a465 :: My cousin told us that the very best use of our money in Alaska would be on a scenic flight around Mt. McKinley. Even though they are expensive, she told us they are worth every pe..."
anxiety,焦虑 / 不安,E1_E2_Candidate,Stage 1 (500 Discovery),34,33,"review_b241dd3384839bc487012204 :: Loved the flight ... the plane came in to Friday Harbor a bit late (about 10 minutes), and for those of us used to constant updates on delayed flights on the regularly scheduled ma..."
generous,大方的 / 慷慨的,E1_E2_Candidate,Stage 1 (500 Discovery),34,34,review_fdde95a34d56f978c81346e9 :: This was a fantastic experience!  To see the sheer beauty and majesty of Mt. Denali and Denali National Park from the air is unbelievable. Words and pictures don't do it justice. I...
romantic,浪漫惬意的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),34,31,review_9b47636f319f5bd7e57d0b01 :: Beautiful views of the beach and downtown skyline! Had so much fun. Very romantic. The pilot was very professional....
sadly,令人遗憾地 / 悲伤地,E1_E2_Candidate,Stage 1 (500 Discovery),34,32,review_94a38ac0637b00f5abd40c9f :: Flew to and back from Friday Harbor.  What a cool experience.  They give ya a tour as you go over the islands.  We were fortunate enough to see a Trident sub on the way back.  Very...
worse,更糟糕的,E1_E2_Candidate,Stage 1 (500 Discovery),34,31,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
airsick,晕机的,E1_E2_Candidate,Stage 1 (500 Discovery),33,32,"review_251532d605c192fdae525c25 :: We chose this tour as part of a cruise excursion, KE21 Misty Fjords Sightseeing, run by Taquan Air.  The excursion was well run, the bus transfer from the pier, the prep for the pl..."
hassle,麻烦 / 烦心事,E1_E2_Candidate,Stage 1 (500 Discovery),33,33,"review_fb444b09ca144f104f98424a :: Loved my ride with Northwest Seaplanes! 

Check-in was easy, hangar staff was friendly and promptly answered any questions I had regarding the planes. Drinks along with merchandise..."
overwhelming,铺天盖地震撼的,E1_E2_Candidate,Stage 1 (500 Discovery),33,33,"review_64e60d67775683c7a6323836 :: The flight above so familiar places of Canyonlands was a dream! Still in awe from the overwhelming beauty of endless canyons, rivers, arches and mountains in the background. Specia..."
reassured,感到安心的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),32,32,review_d72411de8fd698a132048a5c :: I took my Husband John on the Adventure Tour to the Grand Canyon and it was absolutely AMAZING!  LINDSEY was so GREAT and answered all my questions and she also has a big heart. I ...
skillful,技术精湛的,E1_E2_Candidate,Stage 1 (500 Discovery),32,32,review_eba2dae92e82ce84ca669a20 :: This flight was incredible! The views were spectacular! We were going whale watching from Friday Harbor. The dilemma was that we were in Seattle for only a short time. I didn't wan...
turbulent,颠簸不安的,E1_E2_Candidate,Stage 1 (500 Discovery),32,30,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
upfront,直率透明的,E1_E2_Candidate,Stage 1 (500 Discovery),32,32,review_4011873411e6fac958adb3a8 :: Book your flight well ahead and cross your fingers for good weather! The K2 staff was very upfront with us regarding the weather and offered to allow us to cancel or reschedule.  D...
cute,可爱宜人的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),31,30,"review_79fc8f30195e4abc873ad1cf :: We booked a small plane for just my wife and me. Our pilot, Will, couldn't have been more helpful, professional, or cooperative. It was a clear day, except around Denali, but it di..."
economical,划算实惠的,E1_E2_Candidate,Stage 1 (500 Discovery),31,31,review_3157addfb7eb1a9225f3a42a :: We had a fabulous trip circumnavigating Maui and Molokai with Captain Bill Wolf yesterday. It was the highlight of our month long visit to Maui! We would highly recommend using the...
breathtakingly,令人屏息震撼地,E2_Appraisal (Stimulus/Service Attribute),Stage Final (Full Corpus),30,30,"review_f2ca54d8c40cde99c66061bf :: it was an amazing experience. Staff was really nice and welcoming. Pilot was really experienced, he warned us before every bumps, it was really smooth. On the other side, the tour ..."
kindly,体贴友善地,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),30,29,"review_b3c2d80c04bcc5d0082d0a5b :: Having been to Maui twice before, we decided to finally spend the $$ and fly over Haleakala.  After researching the numerous heli tours, we opted to book with Eric and his new-ish ..."
chatty,健谈热情的,E1_E2_Candidate,Stage 1 (500 Discovery),29,29,"review_14c77a9024b5a000f3d0a440 :: Unfortunately, this was the one cloudy and overcast day on our trip to Denali.  Would have been so much better on a clear day!  That being said, it wasn't the fault of this company..."
convinced,深信不疑的 / 心服口服,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),29,29,review_08ea8168a1a995b616de3b5c :: I had the chance of a lifetime to go on this amazing adventure with my brother on 6/30/17. My brother had been trying to talk me into going on a float plane trip through the Misty ...
delighted,高高兴兴的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),29,29,review_65a79e7bd73342c3b9cb8ff0 :: Seeing the Grand Canyon from the air is essential to get an overall sense of the vastness and majesty of the canyon. We chose the plane instead of a helicopter because it was going...
interactive,互动性强的,E1_E2_Candidate,Stage 1 (500 Discovery),29,29,review_a224204bd6c7c0aa09593757 :: One of the most amazing and must do experiences to do while at Maui. A private experience just for the family in a plane with an amazing pilot and tour guide. It was a five star ex...
pure,纯粹的 / 纯净震撼的,E1_E2_Candidate,Stage 1 (500 Discovery),29,29,review_86e423350ff66f7104f81617 :: The experience must never be repeated! The ride was dizzying with an incompetent pilot without a co-pilot and the microphone that didn't work and at the exit we paid 90 dollars mor...
stellar,璀璨顶尖级的,E1_E2_Candidate,Stage 1 (500 Discovery),29,28,review_cd60ca3022a27fd3592f060f :: Such a fun and unique experience. Stellar service. Our pilot was great; very attentive and informative. Excellent views and photos....
unbelievably,难以置信地,E1_E2_Candidate,Stage 1 (500 Discovery),29,29,review_599c37c88c07ed51d872f86f :: We had a wonderful trip to Alaska and this adventure was one of our family's favorites.  We had a clear day so we felt very fortunate to be able to see Denali from various areas an...
sad,悲伤的 / 遗憾痛心的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),28,28,review_228b3776da2f1ce0239f1b49 :: Amazing trip.  The cliffs are beautiful.  I can't describe the beauty.  The service was amazing.  I would be sad if you didn't do this....
serene,宁静祥和的,E1_E2_Candidate,Stage 1 (500 Discovery),28,28,review_61dad22e7dff7839006c369d :: It’s a must visit experience. It’s off season in winters but less crowded peaceful and serene. I assume summers are the best but then if you enjoy lot of company it’s the season to...
aside,撇开 / 排除,E1_E2_Candidate,Stage 1 (500 Discovery),27,27,"review_2b20b9ac5a5cbd34a14f1330 :: Aside from my nausea, I had great time. Friendly staff, quick and easy. you can take pictures with your headset and it’s great to do with friends. just don’t eat before you board...."
eager,热切的 / 渴望的,E1_E2_Candidate,Stage 1 (500 Discovery),27,26,review_06caecdf5a513798162d0ef3 :: The flight over the Grand Canyon is one of the most amazing things I have ever done and it something that I will remember for a very long time. It is ABSOLUTLEY BRILLIANT and I wou...
peace,宁静 / 和平,E1_E2_Candidate,Stage 1 (500 Discovery),27,27,"review_c151d1d63c6eb6c9204dd772 :: From takeoff to landing...Pilot John is amazing. professional, knowledgeable, takes the time to make sure you see the sights he is pointing out...very close views of canyons..
Very..."
regrets,遗憾 / 后悔,E1_E2_Candidate,Stage 1 (500 Discovery),27,27,"review_be756d082c9857ee2d7f2a8b :: Had a blast! Eric was great and friendly, we had an awesome time flying over Volcanoes National Park and taking a pit stop in Hilo for lunch. 10/10 would definitely recommend! I’ve..."
splendor,壮丽辉煌的奇观,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),27,27,review_c9165f59221d7127700e8e97 :: Readying to be picked up by the K-2 shuttle at our hotel (Grand Talkeetna Lodge) we were browsing the gift shop when several people mumbled and looked out the rear window to see De...
bang,物超所值（bang for buck）,E1_E2_Candidate,Stage 1 (500 Discovery),26,26,"review_780cf18fdb4344b621f69643 :: The views were amazing!! Our pilot, Josh, was super nice, and pointed out things of interest, and did his very best to give us bang for our buck!!  We were able to catch a peak at ..."
basic,基础的 / 简陋的,E1_E2_Candidate,Stage 1 (500 Discovery),26,24,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
cramped,拥挤狭窄不适的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),26,25,"review_9a34e794ea1f9d86dc7a645e :: We took a flight over Misty Fjords as a cruise ship excursion.  The scenery is incredibly beautiful. Our pilot was great, and his commentary over the headphones was very informativ..."
bump,颠簸不适的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),25,24,"review_cf263acb50524ef0ab6e5aae :: My 10 year old nephew and I took a seaplane as part of an airfare / whale watching tour.  He hasn't stopped talking about it yet! It was our favorite part of the  vacation, and we ..."
communicative,善于沟通的,E1_E2_Candidate,Stage 1 (500 Discovery),25,25,"review_9686fa4029accd5ed79d9dad :: Today I flew with my friends, We had such a good time! The pilot was very friendly and a good tour guide especially if you’re  not familiar with the area. The pilot was super patie..."
dangerous,危险的,E1_E2_Candidate,Stage 1 (500 Discovery),25,25,review_3a7cd518188bdcac1848c666 :: We originally booked the Denali Grand Tour with glacier landing but the weather was not cooperating. We rescheduled for a few days later on our way back through the area. Unfortuna...
ill,生病的 / 恶心呕吐的,E1_E2_Candidate,Stage 1 (500 Discovery),25,23,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
laughing,欢声笑语 / 开心大笑,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),25,24,review_9b1acc3129e953141e227bf8 :: I am physically disabled and wanted to experience the Grand Canyon while vacationing in AZ. I highly recommend taking this tour. The tour was breathtaking and we got to see the Can...
wondering,心生好奇 / 纳闷想知道,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),25,25,"review_87199e27729cf806d10004a0 :: Straight up, this is the single most expensive activity we did on our whole honeymoon. We debated long and hard if we could justify the cost, and researched the other operators off..."
enjoys,喜爱 / 乐在其中,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),24,24,"review_18d9056e3b7e93d9bb7b9ef4 :: The  flight was more then anticipated, you don't experience Alaska unless you fly and they are a great company to fly with. Saw lots of wildlife, glaciers and much more.  Everyone ..."
inclement,恶劣的气候,E1_E2_Candidate,Stage 1 (500 Discovery),24,24,"review_24594131f7462a720a5ecfb9 :: It was a once in a life time awesome surreal experience. Flying through the fog and clouds over glaciers!
 Only regret is that due to inclement weather we could not experience the ..."
horrible,极度糟糕可怕的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),23,22,review_068f16e9ef0eaae251704aeb :: Horrible experience when the third party booking company doesn't communicate with the actual servicing company. And the policies of the booking company don't apply with the servici...
impeccable,无可挑剔的,E1_E2_Candidate,Stage 1 (500 Discovery),23,23,review_96ced9bfb77a81fe0320b4ea :: Fantastic service on extremely well maintained planes. It is obvious this business is owner operated as the attention to detail is impeccable. Highly recommend!...
shame,遗憾 / 可惜扫兴,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),23,22,"review_e218784027d9434b40cc73b1 :: Amazing tour! Quite the Alaskan experience. Spend the money and do it. You've come as far as Alaska and it would be a shame to miss out. Sam, our tour guide, was friendly, funny an..."
talkative,健谈热情的,E1_E2_Candidate,Stage 1 (500 Discovery),23,23,"review_6993a2ad99a052b4ec824bb3 :: Great welcome in a superbly maintained office area. From the moment you come in to the landing you feel that safety is taken to  the upmost level. 

Everyone and every belonging ar..."
calmed,心情平静安稳下来的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),22,22,review_5189912cd79ae29bc955719a :: What an awesome experience!  Eric calmed the fears of my daughter and sister; so they could really enjoy the experience.  My son had a blast learning to maneuver the plane in high ...
favourite,最喜爱的,E1_E2_Candidate,Stage 1 (500 Discovery),22,21,review_8ce1b875dd9d063943515a97 :: The flight was amazing and the best experience ever. My favourite was the pilot and the feeling of soaring in the sky. Amazing....
fearful,恐惧的 / 担心的,E1_E2_Candidate,Stage 1 (500 Discovery),22,22,review_637b0b43ea5380f9cc4b150c :: I had a great time on the flight. I was able to ride shotgun both ways since I was a solo traveler. Bryce was very knowledgeable about the area and was super sweet when I got air s...
lasting,持久的 / 深刻的,E1_E2_Candidate,Stage 1 (500 Discovery),22,22,"review_6e846f639212791cada686b4 :: Experienced a fantastic tour of the Misty Fjords.  Loved the Beaver aircraft!  Pilot Larry is a terrific pilot.  Good, trustworthy people at Taquan and a solid organization.  Thank..."
shining,璀璨夺目的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),22,22,"review_4a27422eeebe0186c4cf3dd3 :: Said the weather was bad when the sun was shining and helicopter rides were being conducted with no issues. First they delayed the flight, then made us wait an hour, and cancelled...."
skeptical,怀疑的 / 存疑的,E1_E2_Candidate,Stage 1 (500 Discovery),22,22,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
talented,才华横溢精湛的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),22,22,review_d0eb02bcf4aacd821e22ab8e :: Once again Shane and his pro quiver of talented pilots arranged reliable and scenic travel between Renton and Desolation Sound.  It always feels like travel with friends rather tha...
tough,严苛倒霉的,E1_E2_Candidate,Stage 1 (500 Discovery),22,22,"review_490c8ecf885f76429e319219 :: My Canyon Spirit  helicopter tour was part of a 2200 mile motor trip including Zion, Bryce, Monument Valley and Page.  The decision to view the Grand Canyon by air instead of hikin..."
bummed,感到扫兴遗憾失落的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),21,20,"review_5b9a0e422d7e3521a3582753 :: We really enjoyed our flight with Alaska Bush Float plane service. Although Denali was clouded in, the pilot still took us as close as he could. He narrated the whole time and poin..."
mild,轻微适度的（颠簸/舒适）,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),21,20,"review_1d277c51bf0d5a196569e070 :: Maui Plane Rides surpassed our expectations. From the moment our pilot met us at our vehicle, we were his top priority and felt taken care of. Despite the wind that's inevitable in..."
privilege,荣幸 / 难得体验,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),21,20,"review_cfbf25a0b1a3bc09ef2b51e5 :: Michelle took good care of the three of us!  I'm an aviation expert with decades of engineering and mechanical, as well as airlines experience.  This team is bar none the best!  Al..."
refreshing,令人神清气爽耳目一新的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),21,21,review_d1337dcb66b3b015beca49b9 :: Thoroughly enjoyed this private plane ride(only one in Maui) with my family of 4. Saw all the 5 islands from a bird’s eye. Saw a whale as well. Our pilot was awesome and gave all t...
rewarded,得到赏心悦目的回报,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),21,21,review_a75b9e7d18c5e56b90366d3f :: We made a last minute decision to fly. We were rewarded with an outstanding part of our visit to Denali area. We were blessed with incredible views of Denali and the surrounding pe...
spoil,破坏 / 毁掉（好心情）,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),21,20,"review_40ac7f16562d804de9332875 :: Had a great flight and great pilot.   We flew over the Fjords and it was unreal. Except for an obnoxious passenger whose whole family got on the floats, not allowing me to. Then he..."
unbeatable,无可比拟的 / 无敌的,E1_E2_Candidate,Stage 1 (500 Discovery),21,20,"review_1eb4fa96ac83266866e6dc19 :: Maverick helicopters was a very professional organization and COVID friendly. I hate to fly, but enjoyed this tour so much. Unbeatable views of the Grand Canyon...."
amusing,风趣风趣令人发笑的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),20,20,"review_6cca481ca8cb7c7d18e4e7f0 :: We stumbled upon Maui Plane Rides while we were looking for helicopter tours. So glad we found them, such a great experience. Eric is very knowledgeable about Hawaii and is also qu..."
astonishing,令人惊叹的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),20,20,"review_4e27888b553235013b9719d7 :: Our flight could have been a disappointment: clouds kept us from seeing Denali up close and the lack of fresh snow prevented the glacier landing. Despite all that, it was still an ..."
mood,心情 / 情绪,E1_E2_Candidate,Stage 1 (500 Discovery),20,19,"review_70c5ee0ad9cdc4cdd91b41dc :: Outstanding experience!  Stephen was informative, thorough, meanwhile set the right mood all while piloting.  Highly recommend this!!..."
spiritual,精神神圣的,E1_E2_Candidate,Stage 1 (500 Discovery),20,19,review_84a78a9d4bfb31d92af294ad :: I can't say enough positive things about this amazing experience. It was worth every penny and then some. Will(bur?) was an excellent pilot and a downright excellent human. He was ...
successful,成功的 / 满意的,E1_E2_Candidate,Stage 1 (500 Discovery),20,20,"review_0dd5ca5e1f676799c300d0f7 :: Molly, Elbert and Jason made the flight service of our Alaskan fly in hunt a wonderful experience, in and of itself! I'm from the southern part of the lower 48 and these folks at A..."
awestruck,充满敬畏震撼的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),19,19,review_895e1b6c929f771bf3f87e8e :: This is my second time to be here. I did not fly this time but have in the past.  Two of our group flew and was awestruck by the beauty of Denali.  It was a great experience for th...
chilly,寒冷不适的,E1_E2_Candidate,Stage 1 (500 Discovery),19,19,"review_aa1ae3139fbb554b26ec2c15 :: This trip was totally worth it. Everyone at Westwinds was friendly. The narrated flight was informative. The scenery was beautiful. The convenience from Phoenix was awesome. 

The ..."
comfy,舒适惬意的,E1_E2_Candidate,Stage 1 (500 Discovery),19,18,review_a8f6169950323e157fbeda38 :: This was an awesome experience! Eric was knowledgeable of the island and attentive to our comfort level. The views were spectacular. I would definitely recommend an airplane ride o...
exquisite,精美的 / 绝妙的,E1_E2_Candidate,Stage 1 (500 Discovery),19,19,review_9f7a1f060b3104285a7c3fc3 :: This trip was the highlight of my Alaska vacation!!  The pilot was was first class (take off and landing on the glacier was seamless).  The scenery of the mountains and glaciers wa...
inspired,灵感大发 / 深受震撼的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),19,19,"review_64c85a47e768780264992f7b :: I have traveled much of the world, and the experience of flying past Denali and the other peaks, then landing on the glacier is one of the top five I have had in my life.  The ""lai..."
suitable,合适的 / 满意的,E1_E2_Candidate,Stage 1 (500 Discovery),19,19,"review_0c5768e5dfbef01cdc86a1ba :: Flyn from Fra to Seattle on 25.08.24. Flight was in Premium Eco. Flight was on time, plane top clean, space also suitable for very tall people. The service was very good. All in al..."
